codigo_ordem_producao,materia_prima,quantidade,unidade_medida,lote
4732,MP 372,0.06172,KG,091324
4732,MP 373,14.197,KG,MS002055
4732,MP 377,1.1516,KG,674369
4732,MP 380,4.12,KG,679138
4732,MP 382,5.768,KG,679136
4732,MP 401,0.212,KG,576940015933108
4732,MP 402,2.72,KG,A034/22T
4732,MP 405,4.12,KG,683307
4734,MP 365,0.05,KG,090701
4734,MP 376,2.75,KG,20220824024
4734,MP 385,0.2,KG,2211123861/001
4734,MP 410,0.05,KG,20201205RA-50
4734,MP 428,0.05,KG,2208115446
4734,MPHM14,0.15,KG,RU009/22
4734,MP 455,2.5,KG,221031
4734,MP 456,3.225,KG,221018
4734,MP 457,11.025,KG,AHB004
4734,MP 500,3.0,KG,084CX
4734,MP 541,2.0,KG,222283411
4735,MP 365,0.05,KG,090701
4735,MP 376,2.75,KG,20220824024
4735,MP 385,0.2,KG,2211123861/001
4735,MP 410,0.05,KG,20201205RA-50
4735,MP 428,0.05,KG,2208115446
4735,MPHM14,0.15,KG,RU009/22
4735,MP 455,2.5,KG,221031
4735,MP 456,3.225,KG,221018
4735,MP 457,11.025,KG,AHB004
4735,MP 500,3.0,KG,084CX
4735,MP 541,2.0,KG,222283411
4736,MP 365,0.05,KG,090701
4736,MP 376,2.75,KG,20220824024
4736,MP 385,0.2,KG,2211123861/001
4736,MP 410,0.05,KG,20201205RA-50
4736,MP 428,0.05,KG,2208115446
4736,MPHM14,0.15,KG,RU009/22
4736,MP 455,2.5,KG,221031
4736,MP 456,3.225,KG,221018
4736,MP 457,11.025,KG,AHB004
4736,MP 500,3.0,KG,084CX
4736,MP 541,2.0,KG,222283411
4737,MP 365,0.05,KG,090701
4737,MP 376,2.75,KG,20220824024
4737,MP 385,0.2,KG,2211123861/001
4737,MP 410,0.05,KG,20201205RA-50
4737,MP 428,0.05,KG,2208115446
4737,MPHM14,0.15,KG,RU009/22
4737,MP 455,2.5,KG,221031
4737,MP 456,3.225,KG,221018
4737,MP 457,11.025,KG,AHB004
4737,MP 500,3.0,KG,084CX
4737,MP 541,2.0,KG,222283411
4738,MP 365,0.05,KG,090701
4738,MP 376,2.75,KG,20220824024
4738,MP 385,0.2,KG,2211123861/001
4738,MP 410,0.05,KG,20201205RA-50
4738,MP 428,0.05,KG,2208115446
4738,MPHM14,0.15,KG,RU009/22
4738,MP 455,2.5,KG,221031
4738,MP 456,3.225,KG,221018
4738,MP 457,11.025,KG,AHB004
4738,MP 500,3.0,KG,084CX
4738,MP 541,2.0,KG,222283411
4739,MP 365,0.05,KG,090701
4739,MP 376,2.75,KG,20220824024
4739,MP 385,0.2,KG,2211123861/001
4739,MP 410,0.05,KG,20201205RA-50
4739,MP 428,0.05,KG,2208115446
4739,MPHM14,0.15,KG,RU009/22
4739,MP 455,2.5,KG,221031
4739,MP 456,3.225,KG,221018
4739,MP 457,11.025,KG,AHB004
4739,MP 500,3.0,KG,084CX
4739,MP 541,2.0,KG,222283411
4740,MP 326,19.25,KG,SAE/WOM/250622328
4740,MP 327,8.5,KG,124144001485042022
4740,MP 332,1.0,KG,152640016272710
4740,MP 338,0.5,KG,106084001666062021
4740,MP 339,0.08,KG,OF00209954
4740,MP 340,0.40988,KG,0916/430153-G2
4740,MP 350,0.51699,KG,9220325081
4740,MP 351,1.86863,KG,BBF13BASE1
4741,MP 326,19.25,KG,SAE/WOM/250622328
4741,MP 327,4.25,KG,124144001485042022
4741,MP 332,0.5,KG,152640016272710
4741,MP 338,0.5,KG,106084001666062021
4741,MP 339,0.08,KG,OF00209954
4741,MP 346,0.5,KG,OF00190666
4741,MP 349,4.25,KG,37000884021126
4741,MP 351,1.86863,KG,BBF13BASE1
4742,MP 365,0.4,KG,090701
4742,MP 367,0.016,KG,220203578
4742,MP 376,8.552,KG,20220824024
4742,MP 410,0.008,KG,20201205RA-50
4742,MP 461,0.24,KG,DYVS705
4742,MP 613,10.4,KG,APL21/001
4748,MP 365,1.45,KG,090701
4748,MP 386,1.45,KG,660179
4748,MP 410,0.3625,KG,20201205RA-50
4748,MP 421,4.35,KG,NH108055
4748,MP 428,0.97875,KG,2208115446
4748,MP 428,0.47125,KG,2211102266
4748,MP 450,14.5,KG,MC1220295
4749,MP 365,1.45,KG,090701
4749,MP 386,1.45,KG,660179
4749,MP 410,0.3625,KG,20201205RA-50
4749,MP 421,4.35,KG,NH108055
4749,MP 428,1.45,KG,2211102266
4749,MP 450,14.5,KG,MC1220295
4750,MP 365,1.45,KG,090701
4750,MP 386,1.45,KG,660179
4750,MP 410,0.3625,KG,20201205RA-50
4750,MP 421,4.35,KG,NH108055
4750,MP 428,1.45,KG,2211102266
4750,MP 450,14.5,KG,MC1220295
4751,MP 365,1.62,KG,090701
4751,MP 385,1.62,KG,2211123861/001
4751,MP 386,1.62,KG,660179
4751,MP 410,0.729,KG,20201205RA-50
4751,MP 421,4.86,KG,NH108055
4751,MP 428,1.62,KG,2211102266
4752,MP 365,1.62,KG,090701
4752,MP 385,1.62,KG,2211123861/001
4752,MP 386,1.62,KG,660179
4752,MP 410,0.729,KG,20201205RA-50
4752,MP 421,4.86,KG,NH108055
4752,MP 428,1.62,KG,2211102266
4753,MP 365,1.62,KG,090701
4753,MP 385,1.62,KG,2211123861/001
4753,MP 386,1.62,KG,660179
4753,MP 410,0.729,KG,20201205RA-50
4753,MP 421,4.86,KG,NH108055
4753,MP 428,1.62,KG,2211102266
4755,MP 345,0.56897,KG,P222536AB
4755,MP 364,1.54828,KG,20220516
4755,MP 387,4.05948,KG,22060201
4755,MP 391,0.62069,KG,0020220120
4755,MP 403,4.10517,KG,225006098
4755,MP 404,2.575,KG,090484
4755,MP 408,4.9681,KG,SL30779
4755,MP 409,7.96034,KG,SL28131
